server_id,timestamp,cpu_usage,memory_usage,disk_usage,status
WEB-01,2024-01-01 00:00:00,25.4,68.2,45.1,healthy
WEB-02,2024-01-01 00:00:00,32.1,72.5,52.3,healthy
DB-01,2024-01-01 00:00:00,45.8,85.2,78.9,healthy
DB-02,2024-01-01 00:00:00,38.9,79.1,65.4,healthy
APP-01,2024-01-01 00:00:00,28.7,64.3,41.2,healthy
APP-02,2024-01-01 00:00:00,35.2,71.8,48.7,healthy
WEB-01,2024-01-01 01:00:00,27.8,69.5,45.8,healthy
WEB-02,2024-01-01 01:00:00,29.4,70.2,51.9,healthy
DB-01,2024-01-01 01:00:00,52.3,88.7,79.2,warning
DB-02,2024-01-01 01:00:00,41.2,81.4,66.1,healthy
APP-01,2024-01-01 01:00:00,31.5,66.8,42.3,healthy
APP-02,2024-01-01 01:00:00,33.9,73.2,49.1,healthy
WEB-01,2024-01-01 02:00:00,24.1,67.9,44.5,healthy
WEB-02,2024-01-01 02:00:00,30.8,71.1,52.7,healthy
DB-01,2024-01-01 02:00:00,48.7,86.3,78.1,healthy
DB-02,2024-01-01 02:00:00,39.6,80.2,65.8,healthy
APP-01,2024-01-01 02:00:00,26.9,63.7,40.9,healthy
APP-02,2024-01-01 02:00:00,34.7,72.5,48.3,healthy
WEB-01,2024-01-01 03:00:00,95.2,92.1,46.2,critical
WEB-02,2024-01-01 03:00:00,31.7,69.8,53.1,healthy
DB-01,2024-01-01 03:00:00,46.1,84.9,77.8,healthy
DB-02,2024-01-01 03:00:00,40.3,78.6,64.9,healthy
APP-01,2024-01-01 03:00:00,29.8,65.4,41.7,healthy
APP-02,2024-01-01 03:00:00,36.1,74.1,49.8,healthy
WEB-01,2024-01-01 04:00:00,26.5,68.7,45.3,healthy
WEB-02,2024-01-01 04:00:00,33.2,72.9,52.5,healthy
DB-01,2024-01-01 04:00:00,44.9,83.7,78.5,healthy
DB-02,2024-01-01 04:00:00,37.8,79.8,65.2,healthy
APP-01,2024-01-01 04:00:00,28.3,64.9,41.4,healthy
APP-02,2024-01-01 04:00:00,35.6,73.7,48.9,healthy
WEB-01,2024-01-01 05:00:00,25.9,69.1,44.9,healthy
WEB-02,2024-01-01 05:00:00,32.5,71.6,53.2,healthy
DB-01,2024-01-01 05:00:00,47.2,85.8,79.1,healthy
DB-02,2024-01-01 05:00:00,39.1,80.5,66.3,healthy
APP-01,2024-01-01 05:00:00,30.4,66.2,42.1,healthy
APP-02,2024-01-01 05:00:00,34.8,72.3,49.5,healthy
WEB-01,2024-01-01 06:00:00,27.3,68.4,45.7,healthy
WEB-02,2024-01-01 06:00:00,31.9,70.8,52.1,healthy
DB-01,2024-01-01 06:00:00,98.7,96.4,80.3,critical
DB-02,2024-01-01 06:00:00,41.7,82.1,67.1,healthy
APP-01,2024-01-01 06:00:00,29.1,65.7,41.8,healthy
APP-02,2024-01-01 06:00:00,36.4,74.6,50.2,healthy
WEB-01,2024-01-01 07:00:00,24.7,67.2,44.3,healthy
WEB-02,2024-01-01 07:00:00,33.8,73.4,53.8,healthy
DB-01,2024-01-01 07:00:00,43.5,82.9,77.2,healthy
DB-02,2024-01-01 07:00:00,38.2,78.3,64.7,healthy
APP-01,2024-01-01 07:00:00,31.8,67.1,42.9,healthy
APP-02,2024-01-01 07:00:00,35.1,73.9,49.1,healthy
WEB-01,2024-01-01 08:00:00,26.8,68.9,45.1,healthy
WEB-02,2024-01-01 08:00:00,32.4,71.2,52.6,healthy
DB-01,2024-01-01 08:00:00,46.3,84.1,78.7,healthy
DB-02,2024-01-01 08:00:00,40.9,81.7,66.8,healthy
APP-01,2024-01-01 08:00:00,28.6,64.5,41.3,healthy
APP-02,2024-01-01 08:00:00,37.2,75.3,50.7,healthy
WEB-01,2024-01-01 09:00:00,25.1,67.6,44.8,healthy
WEB-02,2024-01-01 09:00:00,34.6,72.7,53.4,healthy
DB-01,2024-01-01 09:00:00,48.9,86.5,79.4,healthy
DB-02,2024-01-01 09:00:00,39.7,80.9,65.9,healthy
APP-01,2024-01-01 09:00:00,30.2,66.8,42.5,healthy
APP-02,2024-01-01 09:00:00,35.9,74.1,49.8,healthy
WEB-01,2024-01-01 10:00:00,27.5,69.3,45.6,healthy
WEB-02,2024-01-01 10:00:00,31.1,70.5,51.7,healthy
DB-01,2024-01-01 10:00:00,45.7,83.8,78.1,healthy
DB-02,2024-01-01 10:00:00,88.4,94.2,95.1,critical
APP-01,2024-01-01 10:00:00,29.4,65.1,41.9,healthy
APP-02,2024-01-01 10:00:00,36.7,75.8,50.4,healthy
WEB-01,2024-01-01 11:00:00,24.9,68.1,44.2,healthy
WEB-02,2024-01-01 11:00:00,33.3,72.1,52.9,healthy
DB-01,2024-01-01 11:00:00,47.8,85.3,79.7,healthy
DB-02,2024-01-01 11:00:00,41.2,81.5,66.4,healthy
APP-01,2024-01-01 11:00:00,31.6,67.4,43.1,healthy
APP-02,2024-01-01 11:00:00,34.5,73.6,48.7,healthy
WEB-01,2024-01-01 12:00:00,26.2,67.8,45.4,healthy
WEB-02,2024-01-01 12:00:00,32.7,71.9,53.1,healthy
DB-01,2024-01-01 12:00:00,44.1,82.7,77.9,healthy
DB-02,2024-01-01 12:00:00,38.8,79.1,65.3,healthy
APP-01,2024-01-01 12:00:00,28.9,64.8,41.6,healthy
APP-02,2024-01-01 12:00:00,37.4,76.2,51.1,healthy
WEB-01,2024-01-01 13:00:00,25.6,68.5,44.7,healthy
WEB-02,2024-01-01 13:00:00,34.1,73.8,54.2,healthy
DB-01,2024-01-01 13:00:00,49.3,87.1,80.2,warning
DB-02,2024-01-01 13:00:00,40.5,82.3,67.8,healthy
APP-01,2024-01-01 13:00:00,30.7,66.9,42.8,healthy
APP-02,2024-01-01 13:00:00,35.8,74.7,49.3,healthy
WEB-01,2024-01-01 14:00:00,27.1,69.7,46.1,healthy
WEB-02,2024-01-01 14:00:00,31.8,70.4,51.8,healthy
DB-01,2024-01-01 14:00:00,46.6,84.9,78.6,healthy
DB-02,2024-01-01 14:00:00,39.2,80.7,66.1,healthy
APP-01,2024-01-01 14:00:00,92.8,89.3,43.4,critical
APP-02,2024-01-01 14:00:00,36.1,75.1,50.6,healthy
WEB-01,2024-01-01 15:00:00,24.3,67.1,44.9,healthy
